artiste,titre,weight
The Voidz,Leave It In My Dreams,2566117
The Voidz,Human Sadness,1907651
The Voidz,Pink Ocean,1306369
The Voidz,Did My Best,1248569
The Voidz,Permanent High School,934909
The Voidz,QYURRYUS,869689
The Voidz,Where No Eagles Fly,602436
The Voidz,Lazy Boy,734873
The Voidz,Pyramid of Bones,659424
The Voidz,AlieNNatioN,679426
Julian Casablancas,11th Dimension,4081091
Julian Casablancas,Out of the Blue,1730769
Julian Casablancas,Left & Right in the Dark,1248079
Julian Casablancas,4 Chords of the Apocalypse,966929
Julian Casablancas,Tourist,854777
Julian Casablancas,Glass,929397
Julian Casablancas,River of Brakelights,844280
Julian Casablancas,Ludlow St.,651890
Julian Casablancas,"I'll Try Anything Once - Live From Electric Lady Studios for WRXP, New York",807797
Julian Casablancas,Christmas Treat,265838
"Albert Hammond, Jr.",In Transit,747611
"Albert Hammond, Jr.",Everyone Gets A Star,440069
"Albert Hammond, Jr.",Bright Young Thing,380181
"Albert Hammond, Jr.",GfC,402309
"Albert Hammond, Jr.",Scared,363248
"Albert Hammond, Jr.",Blue Skies,346749
"Albert Hammond, Jr.",Call An Ambulance,363206
"Albert Hammond, Jr.",Holiday,293129
"Albert Hammond, Jr.",101,243698
"Albert Hammond, Jr.",Spooky Couch,207464
Arctic Monkeys,505,59431707
Arctic Monkeys,Do I Wanna Know?,45858894
Arctic Monkeys,Why'd You Only Call Me When You're High?,42467989
Arctic Monkeys,I Wanna Be Yours,43232470
Arctic Monkeys,Fluorescent Adolescent,34901282
Arctic Monkeys,R U Mine?,33002350
Arctic Monkeys,I Bet You Look Good on the Dancefloor,23889645
Arctic Monkeys,Mardy Bum,20662257
Arctic Monkeys,When the Sun Goes Down,20333951
Arctic Monkeys,Snap Out of It,21109894
Benches,Monodrama,598687
Benches,It Doesn't Have To Change,471269
Benches,Angry Lizard Noise,386449
Benches,Violent,393344
Benches,Mephisto's Waltz,389139
Benches,SASFM,246584
Benches,Queen of Hearts,269392
Benches,Common Sense,265482
Benches,Red Handed,175697
Benches,I Don't Make Me,173819
The Symposium,The Physical Attractions,1295576
The Symposium,Poison,804139
The Symposium,Red River,551480
The Symposium,Streems,458117
The Symposium,Tony Stark,299340
The Symposium,Dracula's Lunch,182609
The Symposium,Sci-Fi,246858
The Symposium,Soft Love,269127
The Symposium,half life,256850
The Symposium,Losing Game,276028
Interpol,Evil,12923176
Interpol,Obstacle 1,12445839
Interpol,Rest My Chemistry,6596876
Interpol,Slow Hands,7378416
Interpol,Untitled,7228979
Interpol,PDA,7475859
Interpol,No I in Threesome,4954543
Interpol,NYC,6058342
Interpol,The Heinrich Maneuver,4818986
Interpol,C'mere,5799107
Cage the Elephant,Cigarette Daydreams,25175568
Cage the Elephant,Come a Little Closer,13533960
Cage the Elephant,Ain't No Rest for the Wicked,9369960
Cage the Elephant,Trouble,7829716
Cage the Elephant,Cold Cold Cold,5939440
Cage the Elephant,Telescope,5038602
Cage the Elephant,Shake Me Down,3855199
Cage the Elephant,In One Ear,3192070
Cage the Elephant,Social Cues,4440160
Cage the Elephant,Spiderhead,3542242
The Last Shadow Puppets,My Mistakes Were Made for You,5959965
The Last Shadow Puppets,Standing Next to Me,5796715
The Last Shadow Puppets,The Age of the Understatement,4152977
The Last Shadow Puppets,Calm Like You,4128681
The Last Shadow Puppets,"Sweet Dreams, TN",4992183
The Last Shadow Puppets,Miracle Aligner,4521335
The Last Shadow Puppets,Separate and Ever Deadly,2167060
The Last Shadow Puppets,Black Plant,1856791
The Last Shadow Puppets,The Chamber,1884566
The Last Shadow Puppets,Only the Truth,1658161
Little Joy,The Next Time Around,1779626
Little Joy,Unattainable,1298333
Little Joy,Brand New Start,1356272
Little Joy,With Strangers,1069266
Little Joy,Keep Me In Mind,1158719
Little Joy,Evaporar,1003437
Little Joy,Don't Watch Me Dancing,953786
Little Joy,Play The Part,900878
Little Joy,How To Hang A Warhol,853305
Little Joy,Shoulder To Shoulder,797803
Pond,Paint Me Silver,1913652
Pond,Sweep Me Off My Feet,1252756
Pond,Holding Out For You,673785
Pond,Waiting Around For Grace,588653
Pond,Giant Tortoise,491620
Pond,Moth Wings,345995
Pond,Man It Feels Like Space Again,432226
Pond,The Weather,382870
Pond,Elvis' Flaming Star,280954
Pond,Daisy,353500
Melody's Echo Chamber,I Follow You,2991816
Melody's Echo Chamber,"Some Time Alone, Alone",1973610
Melody's Echo Chamber,Shirim,1593149
Melody's Echo Chamber,Unfold,664671
Melody's Echo Chamber,Crystallized,739147
Melody's Echo Chamber,You Won't Be Missing That Part of Me,784553
Melody's Echo Chamber,Bisou Magique,723464
Melody's Echo Chamber,"Breathe In, Breathe Out",590897
Melody's Echo Chamber,Endless Shore,595799
Melody's Echo Chamber,Quand Vas Tu Rentrer,534174
GUM,Glamorous Damage,243119
GUM,The Blue Marble,188670
GUM,Minor Setback,162586
GUM,Anesthetized Lesson,112039
GUM,Out In The World,106550
GUM,Ill Times,104876
GUM,Growin' Up,81541
GUM,Notorious Gold,79055
GUM,Dud,97584
GUM,Gemini,50939
Temples,Shelter Song,1306853
Temples,The Golden Throne,622884
Temples,Keep in the Dark,555420
Temples,Mesmerise,504440
Temples,Move With The Season,516894
Temples,Certainty,508000
Temples,Colours to Life,481041
Temples,Sun Structures,414756
Temples,The Guesser,332933
Temples,A Question Isn't Answered,278189
Moses Gunn Collective,Shalala,1422955
Moses Gunn Collective,Hole In The Wall,323549
Moses Gunn Collective,Strawberry,246178
Moses Gunn Collective,Sleepwalking,116035
Moses Gunn Collective,Back Into The Womb,93101
Moses Gunn Collective,Dream Girls,116395
Moses Gunn Collective,I Can Cry,111143
Moses Gunn Collective,Mulberry,56349
Moses Gunn Collective,Neighbourhood,65310
Moses Gunn Collective,Mercy Mountain,55880
The Holydrug Couple,Lunes 1 De Abril,1050658
The Holydrug Couple,If I Could Find You (Eternity),652711
The Holydrug Couple,Atlantic Postcard,243942
The Holydrug Couple,Concorde,173387
The Holydrug Couple,Atlantic 19 de agosto,100894
The Holydrug Couple,Dreamy,110543
The Holydrug Couple,Light Or Night,89915
The Holydrug Couple,Time Bazaar,59752
The Holydrug Couple,Forever End,68791
The Holydrug Couple,Light viernes 27,38926
Unknown Mortal Orchestra,So Good at Being in Trouble,5190821
Unknown Mortal Orchestra,Hunnybee,3742425
Unknown Mortal Orchestra,Multi-Love,2817763
Unknown Mortal Orchestra,Swim and Sleep (Like A Shark),2328311
Unknown Mortal Orchestra,Necessary Evil,1455609
Unknown Mortal Orchestra,That Life,1142307
Unknown Mortal Orchestra,From the Sun,941184
Unknown Mortal Orchestra,Can’t Keep Checking My Phone,888925
Unknown Mortal Orchestra,FFunny FFriends,560330
Unknown Mortal Orchestra,One At A Time,594529
MGMT,Kids,33777883
MGMT,Electric Feel,29806335
MGMT,Time to Pretend,27668027
MGMT,Little Dark Age,21082527
MGMT,Weekend Wars,8505905
MGMT,The Youth,7141081
MGMT,"Of Moons, Birds & Monsters",5796111
MGMT,Pieces of What,5451097
MGMT,4th Dimensional Transition,4742903
MGMT,The Handshake,4805483
Post Animal,When I Get Home,596485
Post Animal,Ralphie,392388
Post Animal,Goggles,239323
Post Animal,Gelatin Mode,176434
Post Animal,Everywhere All At Once,117799
Post Animal,How Do You Feel,147806
Post Animal,Dirtpicker,162130
Post Animal,Special Moment,87932
Post Animal,Alabaster,85186
Post Animal,Last Goodbye,132132
Psychedelic Porn Crumpets,Hymn For A Droid,968759
Psychedelic Porn Crumpets,Found God in a Tomato,839566
Psychedelic Porn Crumpets,Cornflake,791433
Psychedelic Porn Crumpets,Cubensis Lenses,723938
Psychedelic Porn Crumpets,November,475373
Psychedelic Porn Crumpets,Denmark / Van Gogh & Gone,363298
Psychedelic Porn Crumpets,Lava Lamp Pisco,347060
Psychedelic Porn Crumpets,Surf's Up,392172
Psychedelic Porn Crumpets,High Visceral,282373
Psychedelic Porn Crumpets,The Thinker,279028
The Strokes,Reptilia,28336493
The Strokes,Someday,25648220
The Strokes,Last Nite,21637937
The Strokes,The Adults Are Talking,29846593
The Strokes,You Only Live Once,18070605
The Strokes,Hard to Explain,15361075
The Strokes,Is This It,15012978
The Strokes,12:51,11407433
The Strokes,The Modern Age,9801171
The Strokes,Barely Legal,9695031
Inner Wave,American Spirits,1404699
Inner Wave,1 4 2,1177925
Inner Wave,Fever,598909
Inner Wave,Eclipse,601278
Inner Wave,Take 3,624014
Inner Wave,Schemin,409949
Inner Wave,Bower,362962
Inner Wave,Mushroom,298317
Inner Wave,Rose,389627
Inner Wave,Six AM,198207
Tame Impala,The Less I Know the Better,49992768
Tame Impala,Borderline,30604988
Tame Impala,"New Person, Same Old Mistakes",25167512
Tame Impala,Let It Happen,27295939
Tame Impala,Feels Like We Only Go Backwards,19681001
Tame Impala,Eventually,20439027
Tame Impala,Nangs,14057803
Tame Impala,Elephant,12304601
Tame Impala,Yes I'm Changing,12511702
Tame Impala,Dracula,12907685
Vampire Weekend,A-Punk,17353129
Vampire Weekend,Oxford Comma,9681529
Vampire Weekend,Campus,7786638
Vampire Weekend,Cape Cod Kwassa Kwassa,6791757
Vampire Weekend,Mansard Roof,5545031
Vampire Weekend,Cousins,5215084
Vampire Weekend,Holiday,4384538
Vampire Weekend,Horchata,4866701
Vampire Weekend,Walcott,4760848
Vampire Weekend,White Sky,4533145
88rising,Midsummer Madness,3621302
88rising,The Weekend,3453434
88rising,Head In The Clouds,1537063
88rising,Indigo,2095630
88rising,History,2012642
88rising,La La Lost You,2165647
88rising,Best Lover,1814241
88rising,La Cienega,1022229
88rising,Breathe,1100887
88rising,Walking (feat. Swae Lee & Major Lazer),1076348
Bryant Barnes,I'd Rather Pretend,2850032
Bryant Barnes,I'd Rather Pretend (with d4vd),1602688
Bryant Barnes,Don't Want A Love Song,1012853
Bryant Barnes,Adore You,774007
Bryant Barnes,Is This Love To You,712322
Bryant Barnes,Give Me A Sign,658638
Bryant Barnes,Want You All The Time,605221
Bryant Barnes,Why Can't You,442119
Bryant Barnes,Losing You,365604
Bryant Barnes,Don't Let It Be You,326309
Alan Vuong,DEEP IN YOUR SOUL,1497381
Alan Vuong,TELL 'EM YOU'RE MINE,504836
Alan Vuong,TOO LATE FOR YOU,390617
Alan Vuong,GOT_IT_ALL,194912
Alan Vuong,DONT_SAY,188725
Alan Vuong,FWM (Sped Up),160069
Alan Vuong,downtown,116627
Alan Vuong,FWM,156671
Alan Vuong,BELONG 2 ME,110562
Alan Vuong,SOMETHING_ABOUT_YOU,71812
Frank Ocean,Pink + White,60436395
Frank Ocean,Thinkin Bout You,37254530
Frank Ocean,Lost,33104768
Frank Ocean,Ivy,44282934
Frank Ocean,White Ferrari,40897981
Frank Ocean,Nights,43639136
Frank Ocean,Pyramids,24630058
Frank Ocean,Novacane,27098257
Frank Ocean,Chanel,24928396
Frank Ocean,Super Rich Kids,19242419
keshi,UNDERSTAND,8682244
keshi,like i need u,6179057
keshi,LIMBO,5440792
keshi,beside you,6151541
keshi,Soft Spot,6553979
keshi,2 soon,5522492
keshi,SOMEBODY,4152839
keshi,SAY,4005245
keshi,drunk,3576606
keshi,i swear i'll never leave again,2911532
d4vd,Romantic Homicide,28369674
d4vd,Here With Me,16741356
d4vd,You and I,6021034
d4vd,Sleep Well,5496296
d4vd,Feel It - From The Original Series “Invincible”,7199778
d4vd,Feel It,3245206
d4vd,Feel It (From “Invincible”),3621187
d4vd,This Is How It Feels (with Laufey),3075007
d4vd,Crashing (with Kali Uchis),2067895
d4vd,Take Me To The Sun,2778823
Malcolm Todd,Earrings,12615733
Malcolm Todd,Roommates,11413142
Malcolm Todd,Sweet Boy,11340361
Malcolm Todd,Chest Pain (I Love),8274498
Malcolm Todd,Bleed (feat. Omar Apollo),5598015
Malcolm Todd,4Me 4Me,5053446
Malcolm Todd,Mr. Incorrect,3729274
Malcolm Todd,You Owe Me,3292367
Malcolm Todd,Breathe,3002492
Malcolm Todd,Hesitating,2113501
Daniel Caesar,Get You (feat. Kali Uchis),23368825
Daniel Caesar,Best Part (feat. H.E.R.),17705757
Daniel Caesar,Japanese Denim,17189067
Daniel Caesar,Superpowers,11997862
Daniel Caesar,Loose,12246540
Daniel Caesar,Always,12750183
Daniel Caesar,Hold Me Down,9892087
Daniel Caesar,CYANIDE,9572136
Daniel Caesar,Let Me Go,7840782
Daniel Caesar,Do You Like Me?,6732256
Bruno Mars,Locked Out of Heaven,26245114
Bruno Mars,Just the Way You Are,20174851
Bruno Mars,That's What I Like,18719030
Bruno Mars,Grenade,17541272
Bruno Mars,When I Was Your Man,18987931
Bruno Mars,Treasure,12923200
Bruno Mars,Talking to the Moon,14440358
Bruno Mars,24K Magic,12509808
Bruno Mars,The Lazy Song,9310666
Bruno Mars,Marry You,10451488
Don Toliver,No Idea,16557968
Don Toliver,No Pole,18922009
Don Toliver,After Party,9991435
Don Toliver,BANDIT,11231434
Don Toliver,NEW DROP,9137470
Don Toliver,Cardigan,8254941
Don Toliver,Private Landing (feat. Justin Bieber & Future),8352957
Don Toliver,TORE UP,10971699
Don Toliver,You (feat. Travis Scott),7866496
Don Toliver,E85,5553858
Royal Blood,Figure It Out,5409117
Royal Blood,Out of the Black,3709633
Royal Blood,Little Monster,2867905
Royal Blood,Ten Tonne Skeleton,2025557
Royal Blood,Come on Over,1814352
Royal Blood,Lights Out,2020917
Royal Blood,Loose Change,1744165
Royal Blood,I Only Lie When I Love You,1399136
Royal Blood,Blood Hands,1155087
Royal Blood,How Did We Get So Dark?,1310810
Placebo,Every You Every Me,10660870
Placebo,The Bitter End,8944537
Placebo,Pure Morning,7220850
Placebo,Running Up That Hill,6920416
Placebo,Song to Say Goodbye,6581252
Placebo,Special Needs,5632701
Placebo,Special K,5605537
Placebo,This Picture,4709967
Placebo,Infra-Red,5344485
Placebo,English Summer Rain,3849111
Nothing But Thieves,Amsterdam,4084052
Nothing But Thieves,Trip Switch,2220853
Nothing But Thieves,If I Get High,2118272
Nothing But Thieves,Sorry,2447025
Nothing But Thieves,Soda,2041130
Nothing But Thieves,Is Everybody Going Crazy?,2257054
Nothing But Thieves,Wake Up Call,1237534
Nothing But Thieves,Welcome to the DCC,1789156
Nothing But Thieves,Overcome,1670611
Nothing But Thieves,"Lover, Please Stay",1235862
Radiohead,Creep,61924234
Radiohead,No Surprises,56149565
Radiohead,Karma Police,43448123
Radiohead,Let Down,42029458
Radiohead,High and Dry,29590916
Radiohead,All I Need,42557441
Radiohead,Paranoid Android,28003529
Radiohead,Fake Plastic Trees,34263397
Radiohead,Exit Music (for a Film),31624587
Radiohead,Jigsaw Falling Into Place,42202019
Franz Ferdinand,Take Me Out,32978392
Franz Ferdinand,Do You Want To,7612754
Franz Ferdinand,This Fire,5627336
Franz Ferdinand,No You Girls,7115542
Franz Ferdinand,Jacqueline,4182996
Franz Ferdinand,Tell Her Tonight,3715242
Franz Ferdinand,Darts of Pleasure,3859052
Franz Ferdinand,Ulysses,5598508
Franz Ferdinand,Walk Away,4583925
Franz Ferdinand,The Fallen,4375932
30 Seconds to Mars,The Kill,10127584
30 Seconds to Mars,From Yesterday,7127585
30 Seconds to Mars,Attack,5911914
30 Seconds to Mars,A Beautiful Lie,5281255
30 Seconds to Mars,Kings and Queens,4870708
30 Seconds to Mars,The Fantasy,3634656
30 Seconds to Mars,Closer to the Edge,4954479
30 Seconds to Mars,This Is War,4379251
30 Seconds to Mars,The Story,3048585
30 Seconds to Mars,Savior,2694771
Foo Fighters,Everlong,47461406
Foo Fighters,The Pretender,23082822
Foo Fighters,My Hero,15416081
Foo Fighters,Learn to Fly,13719686
Foo Fighters,Best of You,14653486
Foo Fighters,All My Life,11368347
Foo Fighters,Monkey Wrench,9492625
Foo Fighters,Times Like These,8675977
Foo Fighters,Big Me,5296434
Foo Fighters,Long Road to Ruin,5461027
Coldplay,Yellow,39687872
Coldplay,Viva la Vida,41687590
Coldplay,The Scientist,32639025
Coldplay,Clocks,25239832
Coldplay,Fix You,26489003
Coldplay,Sparks,39511960
Coldplay,Paradise,19569968
Coldplay,Don't Panic,16363111
Coldplay,Trouble,13031084
Coldplay,In My Place,12689189
Feeder,Buck Rogers,1709479
Feeder,Feeling a Moment,1392293
Feeder,Come Back Around,724244
Feeder,Seven Days in the Sun,657068
Feeder,Comfort in Sound,592973
Feeder,Just the Way I'm Feeling,858175
Feeder,High,555057
Feeder,Just a Day,899554
Feeder,Forget About Tomorrow,409619
Feeder,Tumble and Fall,365039
The Killers,Mr. Brightside,52521595
The Killers,Somebody Told Me,30798524
The Killers,When You Were Young,23242678
The Killers,All These Things That I've Done,16105962
The Killers,Smile Like You Mean It,14103043
The Killers,Human,14512207
The Killers,Read My Mind,12570603
The Killers,Jenny Was a Friend of Mine,9743111
The Killers,On Top,6042262
The Killers,Spaceman,8374292
¥$,CARNIVAL,13120450
¥$,BURN,11436259
¥$,FIELD TRIP,8366318
¥$,FUK SUMN,4646841
¥$,VULTURES,4269814
¥$,BACK TO ME,2975793
¥$,STARS,2994694
