artiste_source,cluster
21 Savage,1
A$AP Rocky,1
Akhras,5
Anyma,3
Arctic Monkeys,4
Asal,5
Baby Keem,1
Balu Brigada,2
Beach House,2
Billie Eilish,5
Brent Faiyaz,0
Chezile,5
Childish Gambino,1
Cuco,2
Daft Punk,3
Don Toliver,1
Drake,1
El Shab Arab,5
EsDeeKid,5
Fairuz,5
Frank Ocean,0
Gorillaz,3
Hotel Ugly,2
J. Cole,1
JPEGMAFIA,1
Joji,0
Justice,3
Kali Uchis,0
Kanye West,1
Kendrick Lamar,1
Khaled,5
Love Spells,3
MGMT,3
Mac DeMarco,2
Mac Miller,1
Malcolm Todd,5
Men I Trust,2
Metro Boomin,1
Michel Berger,5
Muse,4
Nirvana,4
Nothing But Thieves,4
Omar Khairat,5
Parcels,2
Phoenix,2
Pierce The Veil,5
Pink Floyd,5
Playboi Carti,1
Radiohead,4
SZA,0
Sade,0
Steve Lacy,5
Strawberry Guy,2
TV Girl,2
Tame Impala,5
Temples,5
The Marías,2
The Neighbourhood,2
The Strokes,4
The Symposium,2
The Voidz,4
The Weeknd,0
Thundercat,3
Travis Scott,1
"Tyler, The Creator",1
Vacations,2
Yeat,1
alan vuong,0
طارق العربي طرقان,5
