artiste_source,cluster
21 Savage,1
A$AP Rocky,1
Akhras,5
Anyma,3
Arctic Monkeys,4
Asal,5
Baby Keem,1
Balu Brigada,2
Beach House,2
Billie Eilish,5
Brent Faiyaz,0
Chezile,5
Childish Gambino,1
Cuco,2
Daft Punk,3
Don Toliver,1
Drake,1
El Shab Arab,5
EsDeeKid,5
Fairuz,5
Frank Ocean,0
Gorillaz,3
Hotel Ugly,2
J. Cole,1
JPEGMAFIA,1
Joji,0
Justice,3
Kali Uchis,0
Kanye West,1
Kendrick Lamar,1
Khaled,5
Love Spells,3
MGMT,3
Mac DeMarco,2
Mac Miller,1
Malcolm Todd,5
Men I Trust,2
Metro Boomin,1
Michel Berger,5
Muse,4
Nirvana,4
Nothing But Thieves,4
Omar Khairat,5
Parcels,2
Phoenix,2
Pierce The Veil,5
Pink Floyd,5
Playboi Carti,1
Radiohead,4
SZA,0
Sade,0
Steve Lacy,5
Strawberry Guy,2
TV Girl,2
Tame Impala,5
Temples,5
The Marías,2
The Neighbourhood,2
The Strokes,4
The Symposium,2
The Voidz,4
The Weeknd,0
Thundercat,3
Travis Scott,1
"Tyler, The Creator",1
Vacations,2
Yeat,1
alan vuong,0
طارق العربي طرقان,5
Julian Casablancas,4
88rising,0
Royal Blood,4
Sleeping With Sirens,5
¥$,1
Tory Lanez,0
Majida El Roumi,5
Thom Yorke,4
Jesse®,2
Jordana,2
FINNEAS,5
Pond,5
Qideyt,5
OFWGKTA,1
"The Good, the Bad & the Queen",3
PARTYNEXTDOOR,1
Bryant Barnes,0
SpaceToon,5
Alan Vuong,0
KIDS SEE GHOSTS,1
Jay Rock,1
JID,1
Abdel Halim Hafez,5
Damon Albarn,3
Ziad Rahbani,5
MARQ,2
LOVING,2
Cheb Mami,5
Summer Walker,0
VACATIONS,2
Autostrad,5
Twenty One Pilots,2
Troy Javelona,5
Alvvays,2
Willis,5
The Last Shadow Puppets,4
Benches,2
SeptembersRich,1
Najib Alhoush,5
Pino,0
Tokyo Tea Room,2
DOMi & JD Beck,3
Starfucker,3
L'Impératrice,2
Joey Bada$$,1
David Gilmour,5
Sebastian,3
The Internet,5
Not For Radio,2
Bas,1
Sonder,0
A$AP Mob,1
Daniel Caesar,0
Devon Hendryx,1
Los Retros,2
Ken Carson,1
Huncho Jack,1
Julia Boutros,5
Isles & Glaciers,5
Yot Club,2
Roger Waters,5
Franc Moody,2
Dreamville,1
Hamid El Shaeri,5
Doja Cat,0
Black Atlass,0
Karim Osama,5
Louis Cole,3
Before Today,5
Mazzikas,5
Black Hippy,1
Slowdive,2
Jill Scott,3
strongboi,2
Mustard Service,2
Anderson .Paak,3
machinegum,2
Travi$ Scott,1
Cozz,1
Avenoir,0
Isaiah Rashad,1
Modjo,3
Placebo,4
"Albert Hammond, Jr.",4
Inner Wave,2
JACKBOYS,1
Ahmed Ben Ali,5
Destroy Lonely,1
Hot Flash Heat Wave,2
Melody's Echo Chamber,5
Cheb Hasni,5
ScHoolboy Q,1
Current Joys,2
Sabah,5
Nobu Woods,0
Ralph Castelli,5
Vince Staples,1
Kendrick Lamar & SZA,1
Poolside,2
JAY-Z & Kanye West,1
GUM,5
Foster the People,3
Logic,1
Melhem Barakat,5
Majid Jordan,0
The Flaming Lips,3
DJ Khaled,1
The Red Pears,2
Oum Kalthoum,5
Vansire,2
LCD Soundsystem,3
Good Morning,2
Zach Templar,2
Omar Apollo,0
HOMESHAKE,2
keshi,0
Hiatus Kaiyote,3
Nancy Ajram,5
عمر دياب,5
Solange,0
Georgette Sayegh,5
d4vd,0
Sea of Lettuce,2
Chance the Rapper,1
Offset,1
Animal Collective,3
JPEGMAFIA & Danny Brown,1
Cordae,1
Moses Gunn Collective,5
Sheck Wes,1
Future,1
King Krule,2
