cluster,titre,artiste,type
0,telepatía,Kali Uchis,connu
0,Territorial,Kali Uchis,connu
0,1AM FREESTYLE,Joji,connu
0,1AM FREESTYLE,Joji,connu
0,Given Up On Me,The Weeknd,connu
0,Faith,The Weeknd,connu
0,Pink Matter,Frank Ocean,connu
0,Pink Matter,Frank Ocean,connu
0,Poison,Brent Faiyaz,connu
0,Poison,Brent Faiyaz,connu
0,Kill Bill,SZA,connu
0,Kill Bill,SZA,connu
0,Cherish the Day,Sade,connu
0,Pearls,Sade,connu
0,DEEP IN YOUR SOUL,alan vuong,connu
0,TOO LATE FOR YOU,alan vuong,connu
0,Midsummer Madness,88rising,decouverte
0,DEEP IN YOUR SOUL,Alan Vuong,decouverte
0,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,decouverte
0,Shameless,Avenoir,decouverte
0,CUFF IT,Beyoncé,decouverte
0,Sacrifice (feat. Jessie Reyez),Black Atlass,decouverte
0,Locked Out of Heaven,Bruno Mars,decouverte
0,I'd Rather Pretend,Bryant Barnes,decouverte
0,too far close,Chase Shakur,decouverte
0,Do It,Chloe x Halle,decouverte
0,Get You (feat. Kali Uchis),Daniel Caesar,decouverte
0,DENIAL IS A RIVER,Doechii,decouverte
0,Kiss Me More (feat. SZA),Doja Cat,decouverte
0,TWENTIES,Givēon,decouverte
0,Hmu,Greek,decouverte
0,Sativa,Jhené Aiko,decouverte
0,SWV,Karri,decouverte
0,Folded,Kehlani,decouverte
0,Intergalactic Janet,Ley Soul,decouverte
0,Stars Align (with Drake),Majid Jordan,decouverte
0,Spread Thin,Mariah the Scientist,decouverte
0,Sure Thing,Miguel,decouverte
0,TWENTY NIGHTS,Nobu Woods,decouverte
0,Evergreen (You Didn’t Deserve Me At All),Omar Apollo,decouverte
0,Language,Paperboy Fabe,decouverte
0,Can't Leave Alone (feat. Avenoir & Maz B),Pino,decouverte
0,Temptation,Raveena,decouverte
0,Love Me Not,Ravyn Lenae,decouverte
0,(No One Knows Me) Like the Piano,Sampha,decouverte
0,Losing You,Solange,decouverte
0,What You Heard,Sonder,decouverte
0,Girls Need Love (with Drake) - Remix,Summer Walker,decouverte
0,The After Party,Tona Glover,decouverte
1,Champagne Poetry,Drake,connu
1,ATM,Don Toliver,connu
1,Alright,Kendrick Lamar,connu
1,OK (feat. Don Toliver),Kanye West,connu
1,MAFIA,Travis Scott,connu
1,WHARF TALK (feat. A$AP Rocky),"Tyler, The Creator",connu
1,a lot,21 Savage,connu
1,HELICOPTER,A$AP Rocky,connu
1,War Over Land,JPEGMAFIA,connu
1,Love Yourz,J. Cole,connu
1,No Security,Baby Keem,connu
1,Les,Childish Gambino,connu
1,Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,connu
1,"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)",Mac Miller,connu
1,ILoveUIHateU,Playboi Carti,connu
1,Million Dollar Minion,Yeat,connu
1,Glock In My Lap,21 Savage & Metro Boomin,decouverte
1,That's Life (feat. Mac Miller & Sia),88-Keys,decouverte
1,"Frat Rules (feat. A$AP Rocky, Playboi Carti & Big Sean)",A$AP Mob,decouverte
1,REEL IT IN,Aminé,decouverte
1,RedFlag,ApolloRed1,decouverte
1,GO AGAIN (feat. Superheaven),BNYX®,decouverte
