titre,artiste,artiste_id,track_id,popularite,album,album_release_date,date_ecoute,heure,jour_semaine,artistes,artistes_id
All the Rage Back Home,Interpol,3WaJSfKnzc65VDgmj2zU8B,6cnw3JOLMgBYA2PLydO8mU,0.0,El Pintor,2014-09-09,2026-06-08T14:03:27.235Z,14,Monday,,
Evening Sun,The Strokes,0epOFNiUfyON9EYx7Tpr6V,7HxmrxySFNFu5ppnTDdNPv,0.0,First Impressions Of Earth,2006-01-03,2026-06-08T13:59:04.106Z,13,Monday,,
LOVE YOU LESS,Joji,3MZsBdqDrRTJihTHQrO6Dq,5bhTUxSNkAZ4H3uFjSJRTY,0.0,LOVE YOU LESS,2026-01-02,2026-06-08T13:35:52.262Z,13,Monday,,
Desire Be Desire Go,Tame Impala,5INjqkS1o8h1imAzPqGZBb,4LD5p1sSp97yp86E2zDZwK,0.0,InnerSpeaker,2010-05-21,2026-06-08T13:31:14.194Z,13,Monday,,
The Eternal Tao 2.0,The Voidz,4nUBBtLtzqZGpdiynTJbYJ,7EqgmAtc8R9eH17aUayxL8,0.0,The Eternal Tao 2.0,2021-04-01,2026-06-08T13:27:40.365Z,13,Monday,,
Let It Happen,Tame Impala,5INjqkS1o8h1imAzPqGZBb,2X485T9Z5Ly0xyaghN73ed,0.0,Currents,2015-07-17,2026-06-08T13:14:56.296Z,13,Monday,,
"New Person, Same Old Mistakes",Tame Impala,5INjqkS1o8h1imAzPqGZBb,52ojopYMUzeNcudsoz7O9D,0.0,Currents,2015-07-17,2026-06-08T13:07:08.286Z,13,Monday,,
Love/Paranoia,Tame Impala,5INjqkS1o8h1imAzPqGZBb,5h9hkYIBWTZYFRmF6Iz1gt,0.0,Currents,2015-07-17,2026-06-08T13:01:04.902Z,13,Monday,,
Gossip,Tame Impala,5INjqkS1o8h1imAzPqGZBb,79chzfFIIq7cHkqcYYORk0,0.0,Currents,2015-07-17,2026-06-08T12:55:45.308Z,12,Monday,,
Eventually,Tame Impala,5INjqkS1o8h1imAzPqGZBb,5M4yti0QxgqJieUYaEXcpw,0.0,Currents,2015-07-17,2026-06-08T12:54:49.801Z,12,Monday,,
Yes I'm Changing,Tame Impala,5INjqkS1o8h1imAzPqGZBb,0xtIp0lgccN85GfGOekS5L,0.0,Currents,2015-07-17,2026-06-08T12:49:31.314Z,12,Monday,,
ATM,Don Toliver,4Gso3d4CscCijv0lmajZWs,03auLpFLdCv4HozP4pQseu,0.0,OCTANE,2026-01-30,2026-06-08T12:29:45.487Z,12,Monday,,
Long Way To Calabasas,Don Toliver,4Gso3d4CscCijv0lmajZWs,0FMAKUsgIBszj75WEENYDO,0.0,OCTANE,2026-01-30,2026-06-08T11:32:18.840Z,11,Monday,,
Is It True,Tame Impala,5INjqkS1o8h1imAzPqGZBb,6RZmhpvukfyeSURhf4kZ0d,0.0,The Slow Rush,2020-02-14,2026-06-08T11:21:17.978Z,11,Monday,,
Lost In Yesterday,Tame Impala,5INjqkS1o8h1imAzPqGZBb,5JWPUEov2wlX7c0jhYZpeB,0.0,The Slow Rush,2020-02-14,2026-06-08T11:17:18.674Z,11,Monday,,
On Track,Tame Impala,5INjqkS1o8h1imAzPqGZBb,0IuE6FnXPCdZ8NLuuvJRhb,0.0,The Slow Rush,2020-02-14,2026-06-08T11:13:09.079Z,11,Monday,,
Tomorrow's Dust,Tame Impala,5INjqkS1o8h1imAzPqGZBb,666PdikRnUzdvjT9p5wWND,0.0,The Slow Rush,2020-02-14,2026-06-08T11:08:07.273Z,11,Monday,,
Breathe Deeper,Tame Impala,5INjqkS1o8h1imAzPqGZBb,3LbZIhU0smEU5SUnxod4j4,0.0,The Slow Rush,2020-02-14,2026-06-08T11:02:40.471Z,11,Monday,,
Posthumous Forgiveness,Tame Impala,5INjqkS1o8h1imAzPqGZBb,1KcOU0q9AMXV9xi4tSzzCc,0.0,The Slow Rush,2020-02-14,2026-06-08T10:56:27.059Z,10,Monday,,
Borderline,Tame Impala,5INjqkS1o8h1imAzPqGZBb,5hM5arv9KDbCHS0k9uqwjr,0.0,The Slow Rush,2020-02-14,2026-06-08T10:50:20.955Z,10,Monday,,
Instant Destiny,Tame Impala,5INjqkS1o8h1imAzPqGZBb,6WCXBUFa0z3l9DoOY3k5Xe,0.0,The Slow Rush,2020-02-14,2026-06-08T10:46:23.171Z,10,Monday,,
One More Year,Tame Impala,5INjqkS1o8h1imAzPqGZBb,5ozqshq2dtU7SYCpCBu0NE,0.0,The Slow Rush,2020-02-14,2026-06-08T10:43:08.458Z,10,Monday,,
Oblivius,The Strokes,0epOFNiUfyON9EYx7Tpr6V,6y4ySPeb68KGoAi1dk130F,0.0,Future Present Past,2016-06-03,2026-06-08T10:30:22.051Z,10,Monday,,
QYURRYUS,The Voidz,4nUBBtLtzqZGpdiynTJbYJ,6pMRk6Tr05wmZSSINOqzE3,0.0,Virtue,2018-03-30,2026-06-08T10:24:28.346Z,10,Monday,,
(Nice Dream),Radiohead,4Z8W4fKeB5YxbusRsdQVPb,1tZcw7GtIqviL32bzaKdSo,0.0,The Bends,1995-03-13,2026-06-08T10:15:28.980Z,10,Monday,,
The Adults Are Talking,The Strokes,0epOFNiUfyON9EYx7Tpr6V,5ruzrDWcT0vuJIOMW7gMnW,0.0,The New Abnormal,2020-04-10,2026-06-08T10:11:35.279Z,10,Monday,,
Ode To The Mets,The Strokes,0epOFNiUfyON9EYx7Tpr6V,1BLOVHYYlH4JUHQGcpt75R,0.0,The New Abnormal,2020-04-10,2026-06-08T10:06:25.650Z,10,Monday,,
Reality In Motion,Tame Impala,5INjqkS1o8h1imAzPqGZBb,3I7OmVsk4Hm5LBbs2GmhlD,0.0,Currents,2015-07-17,2026-06-08T09:36:27.072Z,9,Monday,,
'Cause I'm A Man,Tame Impala,5INjqkS1o8h1imAzPqGZBb,2O99aywAVBhaPrsiJ6zbSS,0.0,Currents,2015-07-17,2026-06-08T09:32:15.118Z,9,Monday,,
Disciples,Tame Impala,5INjqkS1o8h1imAzPqGZBb,2gNfxysfBRfl9Lvi9T3v6R,0.0,Currents,2015-07-17,2026-06-08T09:28:12.222Z,9,Monday,,
Past Life,Tame Impala,5INjqkS1o8h1imAzPqGZBb,4a9fW33mYR8LhXBOLUhbfF,0.0,Currents,2015-07-17,2026-06-08T09:19:54.698Z,9,Monday,,
The Less I Know The Better,Tame Impala,5INjqkS1o8h1imAzPqGZBb,6K4t31amVTZDgR3sKmwUJJ,0.0,Currents,2015-07-17,2026-06-08T09:16:06.692Z,9,Monday,,
The Moment,Tame Impala,5INjqkS1o8h1imAzPqGZBb,1UYj8qTWjneZJDVjUMwMub,0.0,Currents,2015-07-17,2026-06-08T09:01:45.586Z,9,Monday,,
Plug in Baby,,,2UKARCqDrhkYDoVR4FN5Wi,,Origin of Symmetry,2001,2026-06-12T13:25:47.165Z,13,Friday,Muse,12Chz98pHFMPJEknJQMWvI
Hyper Music,,,7BxQJTzBjhfpx8PVT1qASg,,Origin of Symmetry,2001,2026-06-12T13:22:09.161Z,13,Friday,Muse,12Chz98pHFMPJEknJQMWvI
Space Dementia,,,00jXDm9BLNZdf2QC3Br0r7,,Origin of Symmetry,2001,2026-06-12T13:18:47.667Z,13,Friday,Muse,12Chz98pHFMPJEknJQMWvI
Bliss,,,0j3obufLXq5toSs592dX9U,,Origin of Symmetry,2001,2026-06-12T13:12:26.865Z,13,Friday,Muse,12Chz98pHFMPJEknJQMWvI
New Born,,,2VrJMuLt2m9HbifGrKWHqk,,Origin of Symmetry,2001,2026-06-12T13:08:15.775Z,13,Friday,Muse,12Chz98pHFMPJEknJQMWvI
Nangs,,,1cCbsojaA6GIT7Y3zuMJ1q,,Currents,2015-07-17,2026-06-12T12:36:56.547Z,12,Friday,Tame Impala,5INjqkS1o8h1imAzPqGZBb
"I'll Try Anything Once (""You Only Live Once"" demo) - Heart In a Cage B-Side",,,3wJpoTNAR3pURNjZV6j6VQ,,Heart In A Cage,2006-01-15,2026-06-12T11:51:22.656Z,11,Friday,The Strokes,0epOFNiUfyON9EYx7Tpr6V
12:51,,,6Yu1OL8I0D4vjOzYdsXYGK,,Room On Fire,2003-10-28,2026-06-12T11:28:37.619Z,11,Friday,The Strokes,0epOFNiUfyON9EYx7Tpr6V
SLOW DANCING IN THE DARK,,,6rY5FAWxCdAGllYEOZMbjW,,BALLADS 1,2018-10-26,2026-06-12T10:29:30.028Z,10,Friday,Joji,3MZsBdqDrRTJihTHQrO6Dq
Cigarettes out the Window,,,6QeYSvYqYUsfBzsApbjDHO,,Who Really Cares,2016-02-25,2026-06-12T10:16:43.542Z,10,Friday,TV Girl,0Y6dVaC9DZtPNH4591M42W
Selfless,,,2t0wwvR15fc3K1ey8OiOaN,,The New Abnormal,2020-04-10,2026-06-12T10:11:08.919Z,10,Friday,The Strokes,0epOFNiUfyON9EYx7Tpr6V
One Way Trigger,,,5GKVcvTgnFYtfh25qKQtRg,,Comedown Machine,2013-03-25,2026-06-12T10:00:59.964Z,10,Friday,The Strokes,0epOFNiUfyON9EYx7Tpr6V
Territorial,,,6PKoUpo9sis5LWkMXSck6f,,"Sincerely,",2025-05-09,2026-06-12T08:40:51.137Z,8,Friday,Kali Uchis,1U1el3k54VvEUzo3ybLPlM
Wahdon,,,0D9yc110AaVMweJLTKVFjJ,,Habbaitak Tanseet El Noum,1979-01-01,2026-06-12T07:29:56.296Z,7,Friday,Fairuz,0dwFxqYkvZLSA6U6XfQcDV
Bluffin' (with The Kid LAROI),,,0eh0TQK1S209s9kovG0EWf,,Piss In The Wind (Deluxe),2026-06-04,2026-06-12T01:28:37.042Z,1,Friday,"Joji, The Kid LAROI","3MZsBdqDrRTJihTHQrO6Dq, 2tIP7SsRs7vjIcLrU85W8J"
Reflections,,,2xql0pid3EUwW38AsywxhV,,Hard To Imagine The Neighbourhood Ever Changing,2018-11-02,2026-06-12T01:26:14.172Z,1,Friday,The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh
Save Your Tears,,,5QO79kh1waicV47BqGRL3g,,After Hours,2020-03-20,2026-06-12T01:22:09.624Z,1,Friday,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
telepatía,,,6tDDoYIxWvMLTdKpjFkc1B,,Sin Miedo (del Amor y Otros Demonios) ∞,2020-12-04,2026-06-12T01:18:33.529Z,1,Friday,Kali Uchis,1U1el3k54VvEUzo3ybLPlM
End Of Summer,,,3McBKxKZLXbE4czUezk5QG,,Deadbeat,2025-10-17,2026-06-12T01:15:52.809Z,1,Friday,Tame Impala,5INjqkS1o8h1imAzPqGZBb
Going Shopping,,,4dUOhTTMy4ITIbNQKPKYFP,,Going Shopping,2026-04-07,2026-06-16T12:04:31.264Z,12,Tuesday,The Strokes,0epOFNiUfyON9EYx7Tpr6V
Falling out of Love,,,4ZxlsIHhSxQkbwKTZ76xu0,,Falling out of Love,2026-05-13,2026-06-16T12:00:09.063Z,12,Tuesday,The Strokes,0epOFNiUfyON9EYx7Tpr6V
Bad Decisions,,,55N8cxpE1QDoeaaNqUnoZ2,,The New Abnormal,2020-04-10,2026-06-16T11:49:41.470Z,11,Tuesday,The Strokes,0epOFNiUfyON9EYx7Tpr6V
Brooklyn Bridge To Chorus,,,2mDYYGaGd9uXKkK2YhDA3i,,The New Abnormal,2020-04-10,2026-06-16T11:42:09.363Z,11,Tuesday,The Strokes,0epOFNiUfyON9EYx7Tpr6V
Selfless,,,2t0wwvR15fc3K1ey8OiOaN,,The New Abnormal,2020-04-10,2026-06-16T11:38:13.455Z,11,Tuesday,The Strokes,0epOFNiUfyON9EYx7Tpr6V
The Adults Are Talking,,,5ruzrDWcT0vuJIOMW7gMnW,,The New Abnormal,2020-04-10,2026-06-16T11:33:50.464Z,11,Tuesday,The Strokes,0epOFNiUfyON9EYx7Tpr6V
Ode To The Mets,,,1BLOVHYYlH4JUHQGcpt75R,,The New Abnormal,2020-04-10,2026-06-16T11:28:40.842Z,11,Tuesday,The Strokes,0epOFNiUfyON9EYx7Tpr6V
You Talk Way Too Much,,,6lnnaGN20kl0jEYJSxCgU9,,Room On Fire,2003-10-28,2026-06-16T11:02:29.982Z,11,Tuesday,The Strokes,0epOFNiUfyON9EYx7Tpr6V
12:51,,,6Yu1OL8I0D4vjOzYdsXYGK,,Room On Fire,2003-10-28,2026-06-16T10:55:34.239Z,10,Tuesday,The Strokes,0epOFNiUfyON9EYx7Tpr6V
Automatic Stop,,,6DUKQUhWqUySYngLXLNwP2,,Room On Fire,2003-10-28,2026-06-16T10:53:01.126Z,10,Tuesday,The Strokes,0epOFNiUfyON9EYx7Tpr6V
Reptilia,,,57Xjny5yNzAcsxnusKmAfA,,Room On Fire,2003-10-28,2026-06-16T10:49:34.031Z,10,Tuesday,The Strokes,0epOFNiUfyON9EYx7Tpr6V
What Ever Happened?,,,78Gzxi27GuNHTfkn2BylG4,,Room On Fire,2003-10-28,2026-06-16T10:45:54.238Z,10,Tuesday,The Strokes,0epOFNiUfyON9EYx7Tpr6V
Is It True,,,6RZmhpvukfyeSURhf4kZ0d,,The Slow Rush,2020-02-14,2026-06-16T10:31:02.737Z,10,Tuesday,Tame Impala,5INjqkS1o8h1imAzPqGZBb
Lost In Yesterday,,,5JWPUEov2wlX7c0jhYZpeB,,The Slow Rush,2020-02-14,2026-06-16T10:27:03.528Z,10,Tuesday,Tame Impala,5INjqkS1o8h1imAzPqGZBb
On Track,,,0IuE6FnXPCdZ8NLuuvJRhb,,The Slow Rush,2020-02-14,2026-06-16T10:22:53.943Z,10,Tuesday,Tame Impala,5INjqkS1o8h1imAzPqGZBb
Tomorrow's Dust,,,666PdikRnUzdvjT9p5wWND,,The Slow Rush,2020-02-14,2026-06-16T10:17:52.150Z,10,Tuesday,Tame Impala,5INjqkS1o8h1imAzPqGZBb
Breathe Deeper,,,3LbZIhU0smEU5SUnxod4j4,,The Slow Rush,2020-02-14,2026-06-16T10:12:25.315Z,10,Tuesday,Tame Impala,5INjqkS1o8h1imAzPqGZBb
Posthumous Forgiveness,,,1KcOU0q9AMXV9xi4tSzzCc,,The Slow Rush,2020-02-14,2026-06-16T10:06:12.496Z,10,Tuesday,Tame Impala,5INjqkS1o8h1imAzPqGZBb
Borderline,,,5hM5arv9KDbCHS0k9uqwjr,,The Slow Rush,2020-02-14,2026-06-16T10:00:06.386Z,10,Tuesday,Tame Impala,5INjqkS1o8h1imAzPqGZBb
Instant Destiny,,,6WCXBUFa0z3l9DoOY3k5Xe,,The Slow Rush,2020-02-14,2026-06-16T09:56:08.585Z,9,Tuesday,Tame Impala,5INjqkS1o8h1imAzPqGZBb
One More Year,,,5ozqshq2dtU7SYCpCBu0NE,,The Slow Rush,2020-02-14,2026-06-16T09:52:53.886Z,9,Tuesday,Tame Impala,5INjqkS1o8h1imAzPqGZBb
King For A Day,,,1IT0WQk5J8NsaeII8ktdlZ,,Collide With The Sky,2012-07-17,2026-06-16T09:47:07.382Z,9,Tuesday,"Pierce The Veil, Kellin Quinn","4iJLPqClelZOBCBifm8Fzv, 3M9XAM57a4qFz3v6Lq27t2"
Space Dementia,,,00jXDm9BLNZdf2QC3Br0r7,,Origin of Symmetry,2001,2026-06-16T09:06:08.381Z,9,Tuesday,Muse,12Chz98pHFMPJEknJQMWvI
Instant Crush (feat. Julian Casablancas),,,2cGxRwrMyEAp8dEbuZaVv6,,Random Access Memories,2013-05-20,2026-06-15T19:46:35.589Z,19,Monday,"Daft Punk, Julian Casablancas","4tZwfgrHOc3mvqYlEYSvVi, 1rAv1GhTQ2rmG94p9lU3rB"
One More Year,,,5ozqshq2dtU7SYCpCBu0NE,,The Slow Rush,2020-02-14,2026-06-15T19:21:43.904Z,19,Monday,Tame Impala,5INjqkS1o8h1imAzPqGZBb
King For A Day,,,1IT0WQk5J8NsaeII8ktdlZ,,Collide With The Sky,2012-07-17,2026-06-15T18:14:04.147Z,18,Monday,"Pierce The Veil, Kellin Quinn","4iJLPqClelZOBCBifm8Fzv, 3M9XAM57a4qFz3v6Lq27t2"
King For A Day,,,1IT0WQk5J8NsaeII8ktdlZ,,Collide With The Sky,2012-07-17,2026-06-15T16:27:17.899Z,16,Monday,"Pierce The Veil, Kellin Quinn","4iJLPqClelZOBCBifm8Fzv, 3M9XAM57a4qFz3v6Lq27t2"
King For A Day,,,1IT0WQk5J8NsaeII8ktdlZ,,Collide With The Sky,2012-07-17,2026-06-15T15:48:09.644Z,15,Monday,"Pierce The Veil, Kellin Quinn","4iJLPqClelZOBCBifm8Fzv, 3M9XAM57a4qFz3v6Lq27t2"
