nom,description,publique,playlist_id
Lofi Hip Hop,"This playlist was created by https:&#x2F;&#x2F;www.tunemymusic.com that lets you transfer your playlist to Spotify from any music platform such as Deezer, YouTube, Apple Music etc.",False,477fGwFzFQwkLab8f20nl7
Chill Lofi Music,"This playlist was created by https:&#x2F;&#x2F;www.tunemymusic.com that lets you transfer your playlist to Spotify from any music platform such as Deezer, YouTube, Apple Music etc.",False,5h76Aim9FX4k8lXBvrsruo
cry then vibe ,"This playlist was created by https:&#x2F;&#x2F;www.tunemymusic.com that lets you transfer your playlist to Spotify from any music platform such as Deezer, YouTube, Apple Music etc.",False,2kxeq5IIkCrHB2ejnbgDRC
🌟,"This playlist was created by https:&#x2F;&#x2F;www.tunemymusic.com that lets you transfer your playlist to Spotify from any music platform such as Deezer, YouTube, Apple Music etc.",False,2xVYJJyz6x3JrjpwniIjtt
discovery,"This playlist was created by https:&#x2F;&#x2F;www.tunemymusic.com that lets you transfer your playlist to Spotify from any music platform such as Deezer, YouTube, Apple Music etc.",False,6m9PXpJaMkYukdQHBDwfOv
it might speak to you,"This playlist was created by https:&#x2F;&#x2F;www.tunemymusic.com that lets you transfer your playlist to Spotify from any music platform such as Deezer, YouTube, Apple Music etc.",False,2eHZEnMgLTCEWAo5Hobozl
best of tv girl,"This playlist was created by https:&#x2F;&#x2F;www.tunemymusic.com that lets you transfer your playlist to Spotify from any music platform such as Deezer, YouTube, Apple Music etc.",False,7gpllWgwlLi1jtQnkqcvro
best of tv girl,,True,1nDM28LoQYcJNyeqjGC6H4
it might speak to you,,False,0BaqRsnOYUjWLOqoB5NBrM
discovery,only tame impala songs that I didn&#x27;t really knew about ,False,4mfl6fAHvP0YmJhCDkwnUs
🌟,,False,1NCiLMZNKxnyZwHaPSfSom
cry then vibe ,,True,5FcjVSW7Rbng4BHn784gS6
Chill Lofi Music,,True,4PXYaUTA9e2wW5B9cUKCv8
Lofi Hip Hop,"Lofi Hip-Hop Chill beats for studying &amp; relaxing (Updated Weekly)  | Featuring: Amies, Kainbeats, saint rumi, Nate2timez, Sutton, Dark Winter, Alhivi, tosso.",True,14fklHTU87SvEr1bzOfwAb
