artiste_source,artiste_similaire,score,nom,affinite,score_reco
The Voidz,Julian Casablancas,1.0,The Voidz,6,6.0
Joji,88rising,1.0,Joji,6,6.0
Muse,Royal Blood,1.0,Muse,6,6.0
Pierce The Veil,Sleeping With Sirens,1.0,Pierce The Veil,6,6.0
Kanye West,¥$,1.0,Kanye West,6,6.0
The Weeknd,Tory Lanez,1.0,The Weeknd,6,6.0
Fairuz,Majida El Roumi,1.0,Fairuz,6,6.0
CASZT,Microgram,1.0,CASZT,6,6.0
Radiohead,Thom Yorke,1.0,Radiohead,6,6.0
The Neighbourhood,Jesse®,1.0,The Neighbourhood,6,6.0
TV Girl,Jordana,1.0,TV Girl,6,6.0
Qideyt,طارق العربي طرقان,1.0,Qideyt,6,6.0
Billie Eilish,FINNEAS,1.0,Billie Eilish,6,6.0
Temples,Pond,1.0,Temples,6,6.0
Tame Impala,Pond,1.0,Tame Impala,6,6.0
The Strokes,The Voidz,1.0,The Strokes,6,6.0
طارق العربي طرقان,Qideyt,1.0,طارق العربي طرقان,6,6.0
Daft Punk,Justice,1.0,Daft Punk,6,6.0
"Tyler, The Creator",OFWGKTA,1.0,"Tyler, The Creator",6,6.0
Gorillaz,"The Good, the Bad & the Queen",1.0,Gorillaz,6,6.0
Kendrick Lamar,Baby Keem,1.0,Kendrick Lamar,6,6.0
Drake,PARTYNEXTDOOR,1.0,Drake,6,6.0
Kali Uchis,SZA,1.0,Kali Uchis,6,6.0
Travis Scott,Don Toliver,1.0,Travis Scott,6,6.0
Joji,Bryant Barnes,0.97789,Joji,6,5.86734
طارق العربي طرقان,SpaceToon,0.975956,طارق العربي طرقان,6,5.855736
The Strokes,Julian Casablancas,0.940326,The Strokes,6,5.641956
Joji,Alan Vuong,0.914594,Joji,6,5.487564
Kanye West,KIDS SEE GHOSTS,0.911469,Kanye West,6,5.468814
Travis Scott,Metro Boomin,0.910321,Travis Scott,6,5.461926
Kendrick Lamar,Jay Rock,0.898585,Kendrick Lamar,6,5.39151
Kendrick Lamar,JID,0.873089,Kendrick Lamar,6,5.238534
Kendrick Lamar,"Tyler, The Creator",0.85014,Kendrick Lamar,6,5.10084
Fairuz,Abdel Halim Hafez,0.849123,Fairuz,6,5.0947379999999995
Gorillaz,Damon Albarn,0.845508,Gorillaz,6,5.073048
The Voidz,The Strokes,0.844501,The Voidz,6,5.067005999999999
Fairuz,Ziad Rahbani,0.838264,Fairuz,6,5.029584
