nom,artiste_id,periode
The Strokes,0epOFNiUfyON9EYx7Tpr6V,short_term
Tame Impala,5INjqkS1o8h1imAzPqGZBb,short_term
The Voidz,4nUBBtLtzqZGpdiynTJbYJ,short_term
Don Toliver,4Gso3d4CscCijv0lmajZWs,short_term
Joji,3MZsBdqDrRTJihTHQrO6Dq,short_term
Muse,12Chz98pHFMPJEknJQMWvI,short_term
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,short_term
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,short_term
Pierce The Veil,4iJLPqClelZOBCBifm8Fzv,short_term
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,short_term
Fairuz,0dwFxqYkvZLSA6U6XfQcDV,short_term
CASZT,6xE6Jvr2qFBQyr4HXT8730,short_term
Kali Uchis,1U1el3k54VvEUzo3ybLPlM,short_term
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,short_term
Drake,3TVXtAsR1Inumwj472S9r4,short_term
Gorillaz,3AA28KZvwAUcZuOKwyblJQ,short_term
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,short_term
Qideyt,4389NzSoef7SIpo4kGs3nr,short_term
TV Girl,0Y6dVaC9DZtPNH4591M42W,short_term
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,short_term
طارق العربي طرقان,7aKTHXgpcipsSyXjyChVxZ,short_term
Nirvana,6olE6TJLqED3rqDCT0FyPh,short_term
Mazzikas,4CmRm0NK3n6HQxZ7FKiE4X,short_term
Mawshahat Andalousyia,2o2LVWhp3631NuVTORq0Bu,short_term
Omar Khairat,0n7OndXLzk4Qa7CzNqQI2u,short_term
"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,short_term
The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,short_term
Radiohead,4Z8W4fKeB5YxbusRsdQVPb,short_term
Temples,4ogwGU9VPWrnVBs1GEwZVV,short_term
Tame Impala,5INjqkS1o8h1imAzPqGZBb,medium_term
The Strokes,0epOFNiUfyON9EYx7Tpr6V,medium_term
Joji,3MZsBdqDrRTJihTHQrO6Dq,medium_term
The Voidz,4nUBBtLtzqZGpdiynTJbYJ,medium_term
