track_id,nb_ecoutes,nb_periodes,est_like,nb_playlists
00NUowM70GCryxvjHPd26C,0.0,2.0,0.0,0.0
00WLowvlN5cjkYpQV6pjo4,0.0,3.0,1.0,1.0
00iwQgjIgoGO94BRBDyClo,0.0,2.0,0.0,0.0
00jXDm9BLNZdf2QC3Br0r7,2.0,3.0,1.0,0.0
01V9eIxh3ctGIuRxcS7Ppg,0.0,2.0,0.0,0.0
01iMj24ADbxjoOob3TBJfq,0.0,2.0,0.0,0.0
01iiEi9h8CQGUN2K1xBbTj,1.0,3.0,1.0,0.0
01z2fBGB8Hl3Jd3zXe4IXR,0.0,2.0,1.0,0.0
026yl5jzAywORnqJuKrSWA,0.0,2.0,0.0,0.0
02BcXEH1zJYbXSabPtNlKf,0.0,2.0,0.0,0.0
02hhPNnoYRlEsng2fyAzkm,0.0,0.0,0.0,1.0
02pl9SCwhSisXzzCv7eTEa,0.0,2.0,0.0,0.0
033IZMP0kKR0RC1h4Z2NVy,0.0,3.0,0.0,0.0
03K1H1mWOB4lbxs4Jszrgv,0.0,3.0,0.0,0.0
03auLpFLdCv4HozP4pQseu,1.0,3.0,1.0,0.0
03rcC8SVxCa9UdY5qgkITe,0.0,2.0,0.0,0.0
04H7h3KJAQp9JHCSPGlp9A,0.0,2.0,0.0,0.0
055T1TvSjL24CTUfTHSZs7,0.0,1.0,0.0,0.0
05gychGDaYtqT3sWQhZydb,0.0,1.0,0.0,0.0
05uPFGZ4teg2gM2Zv2BXou,0.0,0.0,0.0,1.0
061rTXN3Rdlvk0x3GDGtQy,0.0,3.0,1.0,0.0
06FCvd7rrRcF3DdvWH5Isp,0.0,2.0,0.0,0.0
086myS9r57YsLbJpU0TgK9,0.0,2.0,0.0,0.0
08F16baYbciTva9P4BvpiI,0.0,2.0,1.0,1.0
08FpkozV2zt63wxfUbx5A2,0.0,1.0,0.0,0.0
08HoJTQtpq4mtcmy6DbGZc,0.0,2.0,0.0,0.0
08dz3ygXyFur6bL7Au8u8J,0.0,2.0,0.0,0.0
08hGU2oAtPcVVNWKFI0CYI,0.0,1.0,0.0,0.0
08l9WKDuRyGeStQ9ojTlFh,0.0,3.0,0.0,0.0
090df4BpfETesA7Hg45G5d,0.0,2.0,0.0,0.0
093MlZS93ZKlHpGkmb3k3W,0.0,2.0,0.0,0.0
09mEdoA6zrmBPgTEN5qXmN,0.0,3.0,0.0,0.0
0AYH9prUs1YmeCY1UeyryX,0.0,3.0,0.0,0.0
0AiWH7wSRmxIVlbWi8WLEk,0.0,0.0,0.0,1.0
0Awr3NZMkRHQFabkMxW1VT,0.0,2.0,0.0,0.0
0B1J5HYVHLPZTyTN2b4nHW,0.0,3.0,0.0,0.0
0BKZmQ5yvCjIwCPrzNRyeC,0.0,3.0,0.0,0.0
